image_path,xmin,ymin,xmax,ymax,label
2019_YELL_2_541000_4977000_image_crop.png,788,841,854,905,Tree
2019_YELL_2_541000_4977000_image_crop.png,159,754,205,797,Tree
2019_YELL_2_541000_4977000_image_crop.png,955,96,992,132,Tree
2019_YELL_2_541000_4977000_image_crop.png,705,23,749,71,Tree
2019_YELL_2_541000_4977000_image_crop.png,757,29,799,77,Tree
2019_YELL_2_541000_4977000_image_crop.png,474,161,514,201,Tree
2019_YELL_2_541000_4977000_image_crop.png,520,143,575,198,Tree
2019_YELL_2_541000_4977000_image_crop.png,491,536,520,567,Tree
2019_YELL_2_541000_4977000_image_crop.png,823,529,862,569,Tree
2019_YELL_2_541000_4977000_image_crop.png,991,495,1033,554,Tree
2019_YELL_2_541000_4977000_image_crop.png,1136,701,1172,741,Tree
2019_YELL_2_541000_4977000_image_crop.png,1152,667,1189,702,Tree
2019_YELL_2_541000_4977000_image_crop.png,1014,789,1072,849,Tree
2019_YELL_2_541000_4977000_image_crop.png,301,653,334,687,Tree
2019_YELL_2_541000_4977000_image_crop.png,283,793,332,830,Tree
2019_YELL_2_541000_4977000_image_crop.png,376,788,431,833,Tree
2019_YELL_2_541000_4977000_image_crop.png,586,750,630,793,Tree
2019_YELL_2_541000_4977000_image_crop.png,542,641,592,688,Tree
2019_YELL_2_541000_4977000_image_crop.png,51,374,97,416,Tree
2019_YELL_2_541000_4977000_image_crop.png,19,233,56,277,Tree
2019_YELL_2_541000_4977000_image_crop.png,34,102,76,147,Tree
2019_YELL_2_541000_4977000_image_crop.png,617,172,648,202,Tree
2019_YELL_2_541000_4977000_image_crop.png,653,161,687,195,Tree
2019_YELL_2_541000_4977000_image_crop.png,713,145,760,200,Tree
2019_YELL_2_541000_4977000_image_crop.png,1029,102,1073,149,Tree
2019_YELL_2_541000_4977000_image_crop.png,1175,132,1212,176,Tree
2019_YELL_2_541000_4977000_image_crop.png,1093,258,1133,300,Tree
2019_YELL_2_541000_4977000_image_crop.png,1149,623,1202,680,Tree
2019_YELL_2_541000_4977000_image_crop.png,739,612,797,668,Tree
2019_YELL_2_541000_4977000_image_crop.png,297,688,322,712,Tree
2019_YELL_2_541000_4977000_image_crop.png,287,747,328,786,Tree
2019_YELL_2_541000_4977000_image_crop.png,580,795,620,848,Tree
