,treeID,xmin,xmax,ymin,ymax,rgb_path,label,numeric_label,tile_xmin,tile_xmax,tile_ymin,tile_ymax,origin_xmin,origin_xmax,origin_ymin,origin_ymax
0,0,1844,1952,8953,9112,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1844,1952,8953,9112
1,1,4235,4265,7520,7546,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4235,4265,7520,7546
2,2,5012,5188,9685,9872,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5012,5188,9685,9872
3,3,5184,5217,9910,9955,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5184,5217,9910,9955
4,4,3328,3366,9377,9417,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3328,3366,9377,9417
5,5,913,939,9615,9640,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,913,939,9615,9640
6,6,831,869,9633,9676,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,831,869,9633,9676
7,7,8962,9016,8927,8969,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,8962,9016,8927,8969
8,8,6160,6229,8583,8655,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6160,6229,8583,8655
9,9,6041,6240,8666,8825,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,6041,6240,8666,8825
10,10,5790,5838,8794,8825,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5790,5838,8794,8825
11,11,2856,2995,8721,8862,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2856,2995,8721,8862
12,12,5589,5632,8240,8275,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,5589,5632,8240,8275
13,13,4100,4148,7979,8018,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4100,4148,7979,8018
14,14,4347,4410,7875,7930,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4347,4410,7875,7930
15,15,9419,9441,7472,7497,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,9419,9441,7472,7497
16,16,2036,2140,7544,7631,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2036,2140,7544,7631
17,17,1953,1976,7478,7505,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1953,1976,7478,7505
18,18,2091,2208,7460,7579,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2091,2208,7460,7579
19,19,4546,4615,6806,6869,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4546,4615,6806,6869
20,20,3634,3744,6644,6739,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3634,3744,6644,6739
21,21,3166,3196,6824,6847,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3166,3196,6824,6847
22,22,1775,1798,6865,6889,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1775,1798,6865,6889
23,23,1761,1787,6907,6937,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1761,1787,6907,6937
24,24,2129,2227,6254,6348,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2129,2227,6254,6348
25,25,1495,1617,6028,6084,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1495,1617,6028,6084
26,26,1452,1581,5958,6026,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1452,1581,5958,6026
27,27,1425,1522,5858,5917,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1425,1522,5858,5917
28,28,1651,1788,6312,6378,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1651,1788,6312,6378
29,29,1646,1789,6224,6311,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1646,1789,6224,6311
30,30,1562,1683,6067,6151,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1562,1683,6067,6151
31,31,3144,3188,5557,5599,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3144,3188,5557,5599
32,32,3144,3193,5511,5548,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,3144,3193,5511,5548
33,33,2782,2852,5685,5745,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2782,2852,5685,5745
34,34,1531,1570,5811,5846,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1531,1570,5811,5846
35,35,1589,1619,5800,5821,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1589,1619,5800,5821
36,36,1242,1280,5773,5810,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,1242,1280,5773,5810
37,37,432,489,5552,5602,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,432,489,5552,5602
38,38,167,196,5306,5327,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,167,196,5306,5327
39,39,2017,2063,4783,4838,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2017,2063,4783,4838
40,40,7924,7969,4186,4229,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,7924,7969,4186,4229
41,41,2710,2729,4422,4434,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,2710,2729,4422,4434
42,42,4316,4334,3598,3616,2017_SJER_2_259000_4110000_image.tif,Tree,1,259000,260000,4110000,4111000,4316,4334,3598,3616
